,src,dst,time,ext_roll
7764,10,20,1195,0
7765,12,26,1195,0
7766,12,28,1195,0
7767,12,4,1195,0
7768,12,6,1195,0
7769,12,8,1195,0
7770,12,11,1195,0
7771,12,15,1195,0
7772,12,16,1195,0
7773,12,17,1195,0
7774,12,20,1195,0
7775,14,26,1195,0
7776,14,28,1195,0
7777,14,4,1195,0
7778,14,6,1195,0
7779,14,8,1195,0
7780,14,11,1195,0
7781,14,12,1195,0
7782,14,15,1195,0
7783,14,16,1195,0
7784,14,17,1195,0
7785,14,20,1195,0
7786,26,2,1196,0
7787,26,4,1196,0
7788,28,2,1196,0
7789,28,4,1196,0
7790,4,2,1196,0
7791,6,2,1196,0
7792,6,4,1196,0
7793,8,2,1196,0
7794,8,4,1196,0
7795,11,2,1196,0
7796,11,4,1196,0
7797,12,2,1196,0
7798,12,4,1196,0
7799,15,2,1196,0
7800,15,4,1196,0
7801,16,2,1196,0
7802,16,4,1196,0
7803,17,2,1196,0
7804,17,4,1196,0
7805,20,2,1196,0
7806,20,4,1196,0
7807,2,3,1197,0
7808,4,3,1197,0
7809,3,4,1198,0
7810,3,5,1198,0
7811,3,6,1198,0
7812,3,13,1198,0
7813,3,14,1198,0
7814,3,17,1198,0
7815,4,21,1204,0
7816,11,21,1204,0
7817,12,21,1204,0
7818,18,21,1204,0
7819,21,29,1205,0
7820,21,4,1205,0
7821,21,5,1205,0
7822,21,6,1205,0
7823,21,10,1205,0
